transaction_frequency,transaction_regularity,loan_amount,monthly_income,existing_loans,repayment_history,payment_consistency,default
43,0.76563805448734,4617,1413,0,0.9426591769666305,0.42815517303011985,0
33,0.6661457973383835,3402,394,2,0.08273403962367076,0.06142512925983268,1
19,0.5511813388864517,7957,1574,0,0.25393777192369615,0.22392458779658952,0
47,0.9140403785691757,9800,1003,0,0.7799883269105443,0.36327279639889953,0
12,0.5747115751958447,7970,1338,1,0.09873720688266585,0.4386475002460548,1
25,0.8716196076301039,5793,1073,1,0.07566110390411085,0.9774962582088932,0
43,0.6073944359991529,867,731,0,0.36154139875403857,0.8078656456839812,0
23,0.5638611005974352,2144,1690,2,0.09216795847243231,0.7374099443119462,1
27,0.6238758499687245,1649,1150,0,0.5850784422062031,0.5370413147419743,0
15,0.5109645119148994,6240,1753,0,0.22627525081659983,0.8399977606043434,0
15,0.8233265661233757,3816,832,2,0.8956979631993723,0.3393228356557111,1
28,0.6519042730647353,4581,1354,2,0.7835000808452567,0.7088991127733161,1
40,0.4625488866027721,7998,1688,2,0.6997052060994762,0.9937839753781721,1
44,0.9297022012921978,6648,1930,2,0.6169440273845019,0.3146289089351988,1
28,0.5687238549612479,2393,420,0,0.8634657303414633,0.6740175348839673,0
7,0.680487002779792,4937,1012,0,0.22306206154275687,0.8443148641523824,0
26,0.9345304776751828,7858,1356,1,0.8731088427642276,0.9158075833506722,0
6,0.7369665971397945,6893,1793,0,0.7894922984240523,0.7179326909401018,0
28,0.38182862849585486,7738,536,2,0.7481608263876856,0.28360792341713625,1
48,0.9578824865294326,8093,880,1,0.561255678074924,0.32628215156894647,1
34,0.7393956371499925,6107,1656,2,0.2462441609706001,0.02075803212396421,1
42,0.5344339302599602,5642,1526,0,0.42354791599189634,0.7608859776715097,0
6,0.39749045086437107,9192,1176,1,0.7935706545388016,0.042739606061951374,1
25,0.8558176324892071,6456,1910,2,0.031778484357324444,0.8646523546027457,1
37,0.7340509291499595,8533,1436,1,0.7820507692637583,0.1186606144745388,1
16,0.673422764383425,7480,1404,1,0.2400707404875665,0.17187651213592425,1
26,0.9257248081356704,2485,825,0,0.14430920072160303,0.4765264708322373,0
48,0.8520180478571715,4368,130,2,0.11570131818030216,0.7378804151687424,1
29,0.4061724158129258,771,436,1,0.027250011950815112,0.1390022051990777,1
31,0.5182054474568838,263,282,1,0.5235864852214529,0.44007107506649845,0
46,0.473942397870126,8756,1146,2,0.21825987269372948,0.4828512744101048,1
32,0.8207624048008739,4692,643,1,0.9894317657796315,0.21228564166859132,1
20,0.32347270431504554,4895,1569,1,0.5744367558722058,0.11555837668063174,1
19,0.6989227794099215,4898,1197,1,0.13788526935601042,0.8364209229856395,1
48,0.8337210800184833,6136,1133,2,0.6887625408113653,0.5024656497627655,1
7,0.9137359457332246,2455,1607,2,0.8977435665097253,0.014381235984152974,1
41,0.5394572241011352,5987,1579,2,0.7451794953696144,0.8029813013091038,1
11,0.8748801132704089,8061,1689,2,0.07643986103944767,0.9807938054145848,1
25,0.377442215868645,5927,1687,0,0.8958841811926596,0.6059261954142473,0
13,0.8925166042141628,8837,759,1,0.7939293858599648,0.5037083870840707,0
43,0.38924206363238767,4819,259,2,0.15830390010561435,0.8784158630449617,1
22,0.5781011033922571,693,1137,1,0.051785888732816865,0.9525167896845986,0
8,0.8581067560456874,4939,1301,1,0.5573105753143085,0.7545369159024605,1
29,0.40494219914414165,7494,511,0,0.1560358113399769,0.44545292973428785,0
